,cluster_id,cluster_size,cluster_beams,max_snr,min_snr,best_candidate_index,best_candidate_file,best_period,best_acc,best_dm,max_dm,min_dm,total_nassoc,max_distance,min_distance,fit_decay,fit_decay_error,fit_amplitude,fit_amplitude_error,spatial_rfi,low_nassoc
0,239,8,4,12.1423807144165,9.38546752929688,439,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_2_dm_225_250/overview.xml,0.0231231249243619,-4.51632308959961,242.600006103516,246.699996948242,241.699996948242,496,34.983803684263364,17.373189434247553,,,,,0,0
1,6,8,8,64.2366256713867,56.5006523132324,6,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_18_dm_225_250/overview.xml,0.00115384612675955,0.0,247.800003051758,247.800003051758,245.899993896484,37982,42.50131124743794,9.276790031204635,0.0021814128697430486,0.001286209915035116,62.35372278022851,1.7525936610267012,1,0
2,144,7,7,16.5036334991455,11.4633197784424,273,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_3_dm_225_250/overview.xml,0.000910154769640961,0.0,228.300003051758,232.699996948242,228.300003051758,95,59.755938034766864,9.276790031204635,0.0018200815462545061,0.003859823536970109,15.787480402806734,1.1677932300903542,0,0
3,240,6,6,12.1300249099731,9.0541353225708,442,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.000938900628967147,0.0,243.100006103516,247.0,241.300003051758,31,34.983803684263364,9.276790031204635,,,,,0,0
4,178,5,5,14.3033103942871,9.17945384979248,339,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00333609372827003,0.0,242.199996948242,244.800003051758,239.600006103516,88,24.471298787102207,9.276790031204635,,,,,0,0
5,27,5,5,32.1757431030273,19.8892021179199,41,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00170430886187557,0.0,246.199996948242,248.800003051758,246.199996948242,1941,24.471298787102207,9.276790031204635,,,,,0,0
6,125,5,5,17.8488273620605,15.5431222915649,225,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_2_dm_225_250/overview.xml,0.0049999996185303,-0.0118714179843664,228.699996948242,232.0,228.600006103516,19084,52.850517076813055,9.276790031204635,,,,,0,0
7,266,5,5,11.4976987838745,9.82349491119385,494,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_46_dm_225_250/overview.xml,0.00540677268899985,0.00411604391410947,240.399993896484,241.199996948242,235.800003051758,32,42.50131124743794,17.670078935360586,,,,,0,0
8,101,5,5,19.9624462127686,13.9386425018311,171,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00191215143996651,0.000119178555905819,246.600006103516,247.699996948242,246.600006103516,460,24.471298787102207,9.276790031204635,,,,,0,0
9,189,5,5,13.5697507858276,10.0593290328979,361,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00161645787747952,0.000119178555905819,233.399993896484,234.399993896484,231.199996948242,124,42.50131124743794,9.276790031204635,,,,,0,0
10,133,5,5,17.1361045837402,11.1563787460327,248,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.0783982056074766,0.00811290927231312,244.800003051758,244.800003051758,241.899993896484,782,34.983803684263364,9.276790031204635,,,,,0,0
11,161,5,5,15.4760704040527,12.0386524200439,307,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.000992382326920927,0.000119178555905819,244.5,244.5,240.600006103516,240,34.983803684263364,9.276790031204635,,,,,0,0
12,277,5,5,11.1272773742676,9.08739280700684,520,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.0022084001021439,0.000119178555905819,230.800003051758,233.100006103516,226.899993896484,47,34.983803684263364,9.276790031204635,,,,,0,0
13,14,5,5,37.7539024353027,19.1817932128906,24,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00103155536941443,0.0,248.0,249.899993896484,247.100006103516,1197,24.471298787102207,9.276790031204635,,,,,0,0
14,92,5,5,20.6922569274902,19.2807083129883,155,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_18_dm_225_250/overview.xml,0.00130544246165143,0.0,247.399993896484,247.399993896484,246.0,515,42.50131124743794,17.665843257067095,,,,,0,0
15,215,5,5,12.6600637435913,10.0175743103027,401,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.0142542199764402,0.00411604391410947,242.199996948242,245.800003051758,242.199996948242,128,24.471298787102207,9.276790031204635,,,,,0,0
16,66,5,5,23.2570247650146,12.1572074890137,115,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00712710998822008,0.0,238.899993896484,243.5,236.800003051758,891,42.50131124743794,17.670078935360586,,,,,0,0
