PULSAR CAND_NO SNR F0 CAND_F0 DM CAND_DM
Ter5aj 5466 19.2447299957275 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5R 5481 19.2213878631592 198.86473201005708 198.88201904296886 237.395701 237.344543457031
Ter5U 5491 19.2008991241455 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5C 5595 18.9851989746094 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5aj 5801 18.6562690734863 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5A 5886 18.5045642852783 86.48163690602267 86.49202728271463 242.342 243.067047119141
Ter5M 5896 18.4804534912109 280.1457255063251 280.1362609863284 238.515416 238.762451171875
Ter5E 5952 18.3794116973877 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5C 5953 18.3787994384766 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5M 6029 18.2336273193359 280.1457255063251 280.13638305664057 238.515416 238.288879394531
Ter5L 6104 18.0946636199951 445.49372347897673 445.53250122070403 237.553066 237.344543457031
Ter5aj 6126 18.0599765777588 337.96234358564925 338.0179443359377 238.623548 239.236953735352
Ter5A 6159 17.9980735778809 86.48163690602267 86.49816131591763 242.342 242.10383605957
Ter5C 6171 17.9729232788086 118.53825602162425 118.54846954345702 237.058835 236.403945922852
Ter5M 6229 17.8746013641357 280.1457255063251 280.1362609863284 238.515416 238.762451171875
Ter5A 6262 17.8295745849609 86.48163690602267 86.49980163574247 242.342 242.10383605957
Ter5A 6269 17.8096122741699 86.48163690602267 86.49863433837923 242.342 241.623657226562
Ter5E 6418 17.6108551025391 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5A 6434 17.5690803527832 86.48163690602267 86.49897766113264 242.342 242.10383605957
Ter5aj 6513 17.4096546173096 337.96234358564925 338.0179443359377 238.623548 239.236953735352
Ter5A 6532 17.38232421875 86.48163690602267 86.49902343750013 242.342 242.5849609375
Ter5W 6642 17.1942729949951 237.80184502448066 237.84237670898457 238.965424 238.762451171875
Ter5E 6683 17.1371040344238 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5A 6713 17.0799655914307 86.48163690602267 86.49849700927722 242.342 242.5849609375
Ter5W 6888 16.8184127807617 237.80184502448066 237.84237670898457 238.965424 238.762451171875
Ter5C 7169 16.38134765625 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5A 7315 16.1592636108398 86.48163690602267 86.49892425537108 242.342 242.5849609375
Ter5A 7423 16.0196132659912 86.48163690602267 86.49888610839864 242.342 242.10383605957
Ter5A 7483 15.935583114624 86.48163690602267 86.48962402343781 242.342 242.10383605957
Ter5C 7843 15.5121641159058 118.53825602162425 118.54861450195312 237.058835 237.344543457031
Ter5A 7852 15.5023632049561 86.48163690602267 86.49875640869135 242.342 242.5849609375
Ter5aj 7897 15.4442586898804 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5A 8063 15.2571296691895 86.48163690602267 86.4982452392581 242.342 241.623657226562
Ter5aj 8117 15.2007293701172 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5C 8142 15.1709880828857 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5A 8521 14.7593355178833 86.48163690602267 86.48944091796903 242.342 242.5849609375
Ter5aj 8623 14.6736602783203 337.96234358564925 338.0179443359377 238.623548 237.81623840332
Ter5I 8860 14.444748878479 104.49109414246252 104.5042343139648 238.57384 238.762451171875
Ter5A 8931 14.3757104873657 86.48163690602267 86.49889373779327 242.342 242.5849609375
Ter5A 8964 14.3459749221802 86.48163690602267 86.48938751220666 242.342 243.067047119141
Ter5L 8969 14.3402700424194 445.49372347897673 445.53250122070403 237.553066 237.344543457031
Ter5F 9002 14.3165655136108 180.5007959686944 180.5165100097657 239.087986 239.236953735352
Ter5A 9076 14.2437334060669 86.48163690602267 86.49830627441418 242.342 242.10383605957
Ter5A 9083 14.2366228103638 86.48163690602267 86.49877929687503 242.342 241.623657226562
Ter5A 9221 14.1171054840088 86.48163690602267 86.49382019042987 242.342 242.5849609375
Ter5F 9225 14.114465713501 180.5007959686944 180.5165100097657 239.087986 239.236953735352
Ter5A 9275 14.0640068054199 86.48163690602267 86.49854278564473 242.342 242.5849609375
Ter5A 9575 13.8002080917358 86.48163690602267 86.498382568359 242.342 242.5849609375
Ter5C 9834 13.5955619812012 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5D 10045 13.4417963027954 212.13512139141613 212.15359497070307 243.624088 243.550079345703
Ter5F 10088 13.4072742462158 180.5007959686944 180.5165100097657 239.087986 239.236953735352
Ter5C 10334 13.2305631637573 118.53825602162425 118.54854583740236 237.058835 236.873779296875
Ter5A 10346 13.2227277755737 86.48163690602267 86.49857330322257 242.342 242.10383605957
Ter5ab 10386 13.1995038986206 195.32345471620906 195.34042358398418 238.424223 238.762451171875
Ter5A 10417 13.1803569793701 86.48163690602267 86.498321533203 242.342 242.10383605957
Ter5ab 10418 13.1798362731934 195.32345471620906 195.34042358398418 238.424223 238.762451171875
Ter5A 10660 13.0009136199951 86.48163690602267 86.48838806152355 242.342 242.10383605957
Ter5A 10816 12.8993587493896 86.48163690602267 86.4984283447266 242.342 242.5849609375
Ter5C 10838 12.883355140686 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5A 10865 12.8701496124268 86.48163690602267 86.49853515624989 242.342 242.5849609375
Ter5aj 10908 12.8433589935303 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5R 10970 12.8078107833862 198.86473201005708 198.88201904296886 237.395701 237.344543457031
Ter5A 11083 12.7307558059692 86.48163690602267 86.49855041503942 242.342 242.5849609375
Ter5aj 11112 12.7163772583008 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5C 11310 12.5956563949585 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5A 11360 12.5665054321289 86.48163690602267 86.49892425537108 242.342 242.5849609375
Ter5E 11386 12.5516767501831 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5K 11440 12.5227966308594 336.7396303538477 336.74240112304636 234.470485 235.467056274414
Ter5A 11476 12.4978361129761 86.48163690602267 86.47783660888697 242.342 242.5849609375
Ter5G 11598 12.4143600463867 46.14276737520574 46.14678192138668 237.396729 237.344543457031
Ter5O 11615 12.4016590118408 596.435429049485 596.3146972656236 236.225469 236.403945922852
Ter5D 11796 12.29723072052 212.13512139141613 212.15357971191395 243.624088 244.034072875977
Ter5C 11804 12.2937173843384 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5O 11884 12.245379447937 596.435429049485 596.3146972656236 236.225469 236.403945922852
Ter5A 11899 12.235034942627 86.48163690602267 86.4770431518556 242.342 243.067047119141
Ter5A 12028 12.1595125198364 86.48163690602267 86.49853515624989 242.342 242.10383605957
Ter5C 12121 12.1075429916382 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5C 12148 12.0933122634888 118.53825602162425 118.5484237670898 237.058835 235.935043334961
Ter5aj 12167 12.0799961090088 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5aj 12183 12.072901725769 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5A 12238 12.0413513183594 86.48163690602267 86.47622680664061 242.342 242.5849609375
Ter5A 12372 11.9614276885986 86.48163690602267 86.49885559082004 242.342 242.5849609375
Ter5A 12499 11.8941602706909 86.48163690602267 86.47467041015602 242.342 243.067047119141
Ter5A 12519 11.8844223022461 86.48163690602267 86.4982452392581 242.342 242.10383605957
Ter5A 12562 11.8578004837036 86.48163690602267 86.49826812744135 242.342 241.623657226562
Ter5D 12647 11.8110094070435 212.13512139141613 212.15353393554673 243.624088 243.550079345703
Ter5A 12710 11.7714405059814 86.48163690602267 86.49822998046851 242.342 242.10383605957
Ter5A 12812 11.7205924987793 86.48163690602267 86.49845123291026 242.342 243.550079345703
Ter5O 12990 11.6267967224121 596.435429049485 596.3146972656236 236.225469 236.403945922852
Ter5A 13005 11.6216583251953 86.48163690602267 86.49816894531236 242.342 241.623657226562
Ter5A 13090 11.5780868530273 86.48163690602267 86.48968505859406 242.342 243.067047119141
Ter5D 13123 11.5624113082886 212.13512139141613 212.15357971191395 243.624088 243.550079345703
Ter5O 13158 11.5442953109741 596.435429049485 596.4777832031243 236.225469 236.403945922852
Ter5A 13179 11.5335454940796 86.48163690602267 86.47921752929655 242.342 243.067047119141
Ter5A 13311 11.4656095504761 86.48163690602267 86.49858856201207 242.342 241.623657226562
Ter5A 13363 11.4362688064575 86.48163690602267 86.49361419677709 242.342 242.5849609375
Ter5A 13385 11.4218864440918 86.48163690602267 86.49849700927722 242.342 242.5849609375
Ter5G 13419 11.4066371917725 46.14276737520574 46.14678192138668 237.396729 237.344543457031
Ter5O 13446 11.3839874267578 596.435429049485 596.4777832031243 236.225469 236.403945922852
Ter5C 13794 11.2260684967041 118.53825602162425 118.54859161376955 237.058835 236.873779296875
Ter5A 13797 11.2256145477295 86.48163690602267 86.49829864501916 242.342 242.10383605957
Ter5A 13798 11.225172996521 86.48163690602267 86.48979187011703 242.342 242.5849609375
Ter5O 13848 11.2014007568359 596.435429049485 596.3146972656236 236.225469 235.935043334961
Ter5A 13861 11.1945400238037 86.48163690602267 86.49875640869135 242.342 242.5849609375
Ter5A 13883 11.1844034194946 86.48163690602267 86.49826812744135 242.342 242.5849609375
Ter5A 13901 11.1765441894531 86.48163690602267 86.49819946289053 242.342 242.5849609375
Ter5C 14122 11.0752735137939 118.53825602162425 118.54866027832036 237.058835 237.81623840332
Ter5S 14230 11.0335206985474 163.48850281642174 163.50273132324224 236.293652 236.403945922852
Ter5A 14374 10.9666128158569 86.48163690602267 86.47409820556662 242.342 242.5849609375
Ter5A 14431 10.9410285949707 86.48163690602267 86.48905181884753 242.342 242.5849609375
Ter5A 14557 10.8850984573364 86.48163690602267 86.4982452392581 242.342 243.067047119141
